uri	yaml_path	language
https://gedcom.io/terms/v5.5.1/SOUR-XREF_SOUR	structure/standard/SOUR-XREF_SOUR-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SOUR-XREF_SOUR-DATA	structure/standard/SOUR-XREF_SOUR-DATA-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SOUR-XREF_SOUR-DATA-DATE	structure/standard/SOUR-XREF_SOUR-DATA-DATE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SOUR-XREF_SOUR-EVEN	structure/standard/SOUR-XREF_SOUR-EVEN-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SPFX	structure/standard/SPFX-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SSN	structure/standard/SSN-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/STAE	structure/standard/STAE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/STAT-LDS_BAPTISM_DATE_STATUS	structure/standard/STAT-LDS_BAPTISM_DATE_STATUS-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SUBM	structure/standard/SUBM-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SUBM-LANG	structure/standard/SUBM-LANG-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SUBM-NAME	structure/standard/SUBM-NAME-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SUBM-RFN	structure/standard/SUBM-RFN-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SUBN	structure/standard/SUBN-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/SURN	structure/standard/SURN-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/TEMP	structure/standard/TEMP-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/TEXT	structure/standard/TEXT-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/TIME	structure/standard/TIME-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/TITL-DESCRIPTIVE_TITLE	structure/standard/TITL-DESCRIPTIVE_TITLE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/TRLR	structure/standard/TRLR-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/TYPE-EVENT_OR_FACT_CLASSIFICATION	structure/standard/TYPE-EVENT_OR_FACT_CLASSIFICATION-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/TYPE-PHONETIC_TYPE	structure/standard/TYPE-PHONETIC_TYPE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/TYPE-ROMANIZED_TYPE	structure/standard/TYPE-ROMANIZED_TYPE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/VERS	structure/standard/VERS-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/WIFE-NULL	structure/standard/WIFE-NULL-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/WILL	structure/standard/WILL-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/WWW	structure/standard/WWW-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/record-FAM	structure/standard/record-FAM-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/record-INDI	structure/standard/record-INDI-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/record-NOTE	structure/standard/record-NOTE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/record-OBJE	structure/standard/record-OBJE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/record-REPO	structure/standard/record-REPO-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/record-SOUR	structure/standard/record-SOUR-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/record-SUBM	structure/standard/record-SUBM-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/record-SUBN	structure/standard/record-SUBN-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-ADOPTED_BY_WHICH_PARENT	data-type/standard/type-ADOPTED_BY_WHICH_PARENT-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-AGE_AT_EVENT	data-type/standard/type-AGE_AT_EVENT-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-CERTAINTY_ASSESSMENT	data-type/standard/type-CERTAINTY_ASSESSMENT-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-CHARACTER_SET	data-type/standard/type-CHARACTER_SET-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-CHILD_LINKAGE_STATUS	data-type/standard/type-CHILD_LINKAGE_STATUS-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-DATE_EXACT	data-type/standard/type-DATE_EXACT-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-DATE_PERIOD	data-type/standard/type-DATE_PERIOD-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-DATE_VALUE	data-type/standard/type-DATE_VALUE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-EVENTS_RECORDED	data-type/standard/type-EVENTS_RECORDED-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-GEDCOM_FORM	data-type/standard/type-GEDCOM_FORM-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-LANGUAGE_ID	data-type/standard/type-LANGUAGE_ID-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-LDS_BAPTISM_DATE_STATUS	data-type/standard/type-LDS_BAPTISM_DATE_STATUS-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-LDS_CHILD_SEALING_DATE_STATUS	data-type/standard/type-LDS_CHILD_SEALING_DATE_STATUS-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-LDS_ENDOWMENT_DATE_STATUS	data-type/standard/type-LDS_ENDOWMENT_DATE_STATUS-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-LDS_SPOUSE_SEALING_DATE_STATUS	data-type/standard/type-LDS_SPOUSE_SEALING_DATE_STATUS-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-MULTIMEDIA_FORMAT	data-type/standard/type-MULTIMEDIA_FORMAT-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-NAME_PERSONAL	data-type/standard/type-NAME_PERSONAL-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-NAME_PIECE_GIVEN	data-type/standard/type-NAME_PIECE_GIVEN-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-NAME_PIECE_NICKNAME	data-type/standard/type-NAME_PIECE_NICKNAME-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-NAME_PIECE_PREFIX	data-type/standard/type-NAME_PIECE_PREFIX-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-NAME_PIECE_SUFFIX	data-type/standard/type-NAME_PIECE_SUFFIX-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-NAME_PIECE_SURNAME	data-type/standard/type-NAME_PIECE_SURNAME-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-NAME_PIECE_SURNAME_PREFIX	data-type/standard/type-NAME_PIECE_SURNAME_PREFIX-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-ORDINANCE_PROCESS_FLAG	data-type/standard/type-ORDINANCE_PROCESS_FLAG-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-PEDIGREE_LINKAGE_TYPE	data-type/standard/type-PEDIGREE_LINKAGE_TYPE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-PERMANENT_RECORD_FILE_NUMBER	data-type/standard/type-PERMANENT_RECORD_FILE_NUMBER-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-PLACE_NAME	data-type/standard/type-PLACE_NAME-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-RESTRICTION_NOTICE	data-type/standard/type-RESTRICTION_NOTICE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-SOURCE_MEDIA_TYPE	data-type/standard/type-SOURCE_MEDIA_TYPE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/type-TIME_VALUE	data-type/standard/type-TIME_VALUE-v551.yaml	en-US
https://gedcom.io/terms/v7.1/record-REPO	structure/standard/record-REPO-v71.yaml	en-US
https://gedcom.io/terms/v7.1/record-SNOTE	structure/standard/record-SNOTE-v71.yaml	en-US
https://gedcom.io/terms/v7.1/record-SOUR	structure/standard/record-SOUR-v71.yaml	en-US
https://gedcom.io/terms/v7.1/record-SUBM	structure/standard/record-SUBM-v71.yaml	en-US
https://gedcom.io/terms/v7/ABBR	structure/standard/ABBR.yaml	en-US
https://gedcom.io/terms/v7/ADDR	structure/standard/ADDR.yaml	en-US
https://gedcom.io/terms/v7/ADOP	structure/standard/ADOP.yaml	en-US
https://gedcom.io/terms/v7/ADOP-FAMC	structure/standard/ADOP-FAMC.yaml	en-US
https://gedcom.io/terms/v7/ADR1	structure/standard/ADR1.yaml	en-US
https://gedcom.io/terms/v7/ADR2	structure/standard/ADR2.yaml	en-US
https://gedcom.io/terms/v7/ADR3	structure/standard/ADR3.yaml	en-US
https://gedcom.io/terms/v7/AFN	uri/exid-types/AFN.yaml	en-US
https://gedcom.io/terms/v7/AGE	structure/standard/AGE.yaml	en-US
https://gedcom.io/terms/v7/AGNC	structure/standard/AGNC.yaml	en-US
https://gedcom.io/terms/v7/ALIA	structure/standard/ALIA.yaml	en-US
https://gedcom.io/terms/v7/ANCI	structure/standard/ANCI.yaml	en-US
https://gedcom.io/terms/v7/ANUL	structure/standard/ANUL.yaml	en-US
https://gedcom.io/terms/v7/ASSO	structure/standard/ASSO.yaml	en-US
https://gedcom.io/terms/v7/AUTH	structure/standard/AUTH.yaml	en-US
https://gedcom.io/terms/v7/BAPL	structure/standard/BAPL.yaml	en-US
https://gedcom.io/terms/v7/BAPM	structure/standard/BAPM.yaml	en-US
https://gedcom.io/terms/v7/BARM	structure/standard/BARM.yaml	en-US
https://gedcom.io/terms/v7/BASM	structure/standard/BASM.yaml	en-US
https://gedcom.io/terms/v7/BIRT	structure/standard/BIRT.yaml	en-US
https://gedcom.io/terms/v7/BLES	structure/standard/BLES.yaml	en-US
https://gedcom.io/terms/v7/BURI	structure/standard/BURI.yaml	en-US
https://gedcom.io/terms/v7/CALN	structure/standard/CALN.yaml	en-US
https://gedcom.io/terms/v7/CAST	structure/standard/CAST.yaml	en-US
https://gedcom.io/terms/v7/CAUS	structure/standard/CAUS.yaml	en-US
https://gedcom.io/terms/v7/CHAN	structure/standard/CHAN.yaml	en-US
https://gedcom.io/terms/v7/CHIL	structure/standard/CHIL.yaml	en-US
https://gedcom.io/terms/v7/CHR	structure/standard/CHR.yaml	en-US
https://gedcom.io/terms/v7/CHRA	structure/standard/CHRA.yaml	en-US
